path_index_zero_based,scene_number_one_based,window_index,window_start_seconds,nr_db,disturbance_energy,residual_energy,is_negative_nr
0,1,0,20.0,15.225688934326172,0.8475344181060791,0.02544417604804039,0
0,1,1,22.0,13.25422477722168,0.635150671005249,0.030023016035556793,0
0,1,2,24.0,13.471484184265137,0.35538846254348755,0.01597919687628746,0
0,1,3,26.0,15.012063026428223,0.8362783789634705,0.026372099295258522,0
1,2,0,20.0,11.873968124389648,0.8700320720672607,0.05651172623038292,0
1,2,1,22.0,11.387238502502441,0.6679693460464478,0.048532500863075256,0
1,2,2,24.0,11.033638000488281,0.3598759174346924,0.02836540713906288,0
1,2,3,26.0,12.144360542297363,0.8527209758758545,0.05204402282834053,0
2,3,0,20.0,13.224191665649414,0.7857605218887329,0.03739995136857033,0
2,3,1,22.0,11.245322227478027,0.6029913425445557,0.04526670277118683,0
2,3,2,24.0,12.133251190185547,0.3238109350204468,0.019813738763332367,0
2,3,3,26.0,12.904655456542969,0.7720217704772949,0.039551593363285065,0
3,4,0,20.0,14.353012084960938,0.8716396689414978,0.031991589814424515,0
3,4,1,22.0,12.856195449829102,0.6613583564758301,0.03426237031817436,0
3,4,2,24.0,12.707340240478516,0.3513736426830292,0.01883801817893982,0
3,4,3,26.0,14.26036262512207,0.8508464097976685,0.03190178796648979,0
4,5,0,20.0,13.593683242797852,0.8071318864822388,0.03528386726975441,0
4,5,1,22.0,12.396468162536621,0.6239535212516785,0.035934001207351685,0
4,5,2,24.0,12.679925918579102,0.3305245041847229,0.017832454293966293,0
4,5,3,26.0,13.689769744873047,0.7926439046859741,0.03389230743050575,0
5,6,0,20.0,6.070866107940674,0.8880400657653809,0.21945525705814362,0
5,6,1,22.0,6.195856094360352,0.6830762624740601,0.164014995098114,0
5,6,2,24.0,5.8669233322143555,0.39525505900382996,0.10237292945384979,0
5,6,3,26.0,6.124773025512695,0.8909095525741577,0.21744844317436218,0
6,7,0,20.0,0.6794912815093994,1.1952996253967285,1.0221806764602661,0
6,7,1,22.0,0.7476662397384644,0.9811414480209351,0.8259713649749756,0
6,7,2,24.0,0.9562944769859314,0.7081301212310791,0.5681769847869873,0
6,7,3,26.0,0.7091031074523926,1.25831937789917,1.0687609910964966,0
7,8,0,20.0,13.953340530395508,0.80366051197052,0.032339900732040405,0
7,8,1,22.0,12.06325626373291,0.6321465373039246,0.03930900618433952,0
7,8,2,24.0,13.140765190124512,0.3281734585762024,0.01592307537794113,0
7,8,3,26.0,13.995096206665039,0.7945303916931152,0.03166655823588371,0
