path_index_zero_based,scene_number_one_based,window_index,window_start_seconds,nr_db,disturbance_energy,residual_energy,is_negative_nr
0,1,0,20.0,15.245519638061523,0.8475344181060791,0.02532825991511345,0
0,1,1,22.0,12.541711807250977,0.635150671005249,0.035375747829675674,0
0,1,2,24.0,13.947896957397461,0.35538846254348755,0.014319030568003654,0
0,1,3,26.0,14.701322555541992,0.8362783789634705,0.02832818403840065,0
1,2,0,20.0,13.077889442443848,0.8700320720672607,0.04282983019948006,0
1,2,1,22.0,11.063011169433594,0.6679693460464478,0.05229443684220314,0
1,2,2,24.0,12.311439514160156,0.3598759174346924,0.021135322749614716,0
1,2,3,26.0,13.177206039428711,0.8527209758758545,0.04102855920791626,0
2,3,0,20.0,13.667201042175293,0.7857605218887329,0.033773038536310196,0
2,3,1,22.0,10.750455856323242,0.6029913425445557,0.05073007568717003,0
2,3,2,24.0,12.898839950561523,0.3238109350204468,0.016611451283097267,0
2,3,3,26.0,12.782448768615723,0.7720217704772949,0.04068036377429962,0
3,4,0,20.0,14.988341331481934,0.8716396689414978,0.02763776108622551,0
3,4,1,22.0,11.99846076965332,0.6613583564758301,0.0417436920106411,0
3,4,2,24.0,12.814459800720215,0.3513736426830292,0.018379058688879013,0
3,4,3,26.0,14.315966606140137,0.8508464097976685,0.031495943665504456,0
4,5,0,20.0,14.942082405090332,0.8071318864822388,0.025866420939564705,0
4,5,1,22.0,11.72892951965332,0.6239535212516785,0.041904374957084656,0
4,5,2,24.0,13.704423904418945,0.3305245041847229,0.014085143804550171,0
4,5,3,26.0,14.541570663452148,0.7926439046859741,0.027856145054101944,0
5,6,0,20.0,6.413138389587402,0.8880400657653809,0.2028236985206604,0
5,6,1,22.0,6.019351482391357,0.6830762624740601,0.17081817984580994,0
5,6,2,24.0,6.166350364685059,0.39525505900382996,0.09555259346961975,0
5,6,3,26.0,6.446393013000488,0.8909095525741577,0.20192697644233704,0
6,7,0,20.0,0.6746664047241211,1.1952996253967285,1.0233168601989746,0
6,7,1,22.0,0.7062743902206421,0.9811414480209351,0.8338812589645386,0
6,7,2,24.0,0.8993597030639648,0.7081301212310791,0.5756746530532837,0
6,7,3,26.0,0.6891906261444092,1.25831937789917,1.0736725330352783,0
7,8,0,20.0,14.60090446472168,0.80366051197052,0.02786007523536682,0
7,8,1,22.0,11.90888500213623,0.6321465373039246,0.04073139280080795,0
7,8,2,24.0,13.852014541625977,0.3281734585762024,0.013517675921320915,0
7,8,3,26.0,14.048154830932617,0.7945303916931152,0.03128204867243767,0
