path_index_zero_based,scene_number_one_based,window_index,window_start_seconds,nr_db,disturbance_energy,residual_energy,is_negative_nr
0,1,0,20.0,13.82472038269043,0.8475344181060791,0.0351305790245533,0
0,1,1,22.0,11.903606414794922,0.635150671005249,0.040974728763103485,0
0,1,2,24.0,13.270597457885742,0.35538846254348755,0.01673569157719612,0
0,1,3,26.0,13.221380233764648,0.8362783789634705,0.03983023390173912,0
1,2,0,20.0,13.531755447387695,0.8700320720672607,0.038579776883125305,0
1,2,1,22.0,10.938815116882324,0.6679693460464478,0.05381149798631668,0
1,2,2,24.0,13.185903549194336,0.3598759174346924,0.017280740663409233,0
1,2,3,26.0,13.447145462036133,0.8527209758758545,0.038556039333343506,0
2,3,0,20.0,12.016191482543945,0.7857605218887329,0.04939364641904831,0
2,3,1,22.0,9.971894264221191,0.6029913425445557,0.06069062650203705,0
2,3,2,24.0,11.30988883972168,0.3238109350204468,0.023949844762682915,0
2,3,3,26.0,11.249267578125,0.7720217704772949,0.0579032376408577,0
3,4,0,20.0,14.022440910339355,0.8716396689414978,0.034521766006946564,0
3,4,1,22.0,11.381570816040039,0.6613583564758301,0.04811490699648857,0
3,4,2,24.0,12.379454612731934,0.3513736426830292,0.020315323024988174,0
3,4,3,26.0,13.20407772064209,0.8508464097976685,0.040685854852199554,0
4,5,0,20.0,14.77979564666748,0.8071318864822388,0.02685127779841423,0
4,5,1,22.0,11.340117454528809,0.6239535212516785,0.04582900553941727,0
4,5,2,24.0,14.156417846679688,0.3305245041847229,0.012692928314208984,0
4,5,3,26.0,14.20895004272461,0.7926439046859741,0.030073445290327072,0
5,6,0,20.0,6.807982444763184,0.8880400657653809,0.18519717454910278,0
5,6,1,22.0,6.168334484100342,0.6830762624740601,0.1650576889514923,0
5,6,2,24.0,6.817324638366699,0.39525505900382996,0.08225172758102417,0
5,6,3,26.0,6.868790626525879,0.8909095525741577,0.1832122653722763,0
6,7,0,20.0,0.7240492701530457,1.1952996253967285,1.011746883392334,0
6,7,1,22.0,0.7439512014389038,0.9811414480209351,0.8266782164573669,0
6,7,2,24.0,0.9788545966148376,0.7081301212310791,0.5652331113815308,0
6,7,3,26.0,0.7472150921821594,1.25831937789917,1.0594229698181152,0
7,8,0,20.0,13.096485137939453,0.80366051197052,0.03939346224069595,0
7,8,1,22.0,11.10363483428955,0.6321465373039246,0.04902913421392441,0
7,8,2,24.0,12.535429954528809,0.3281734585762024,0.01830460876226425,0
7,8,3,26.0,12.472113609313965,0.7945303916931152,0.04496755078434944,0
