path_index_zero_based,scene_number_one_based,window_index,window_start_seconds,nr_db,disturbance_energy,residual_energy,is_negative_nr
0,1,0,20.0,15.203397750854492,0.8475344181060791,0.025575121864676476,0
0,1,1,22.0,12.482978820800781,0.635150671005249,0.03585740178823471,0
0,1,2,24.0,14.188785552978516,0.35538846254348755,0.013546429574489594,0
0,1,3,26.0,14.307503700256348,0.8362783789634705,0.031017057597637177,0
1,2,0,20.0,12.45599365234375,0.8700320720672607,0.04942377284169197,0
1,2,1,22.0,10.355026245117188,0.6679693460464478,0.06155365705490112,0
1,2,2,24.0,12.224272727966309,0.3598759174346924,0.021563809365034103,0
1,2,3,26.0,12.689934730529785,0.8527209758758545,0.04590009152889252,0
2,3,0,20.0,12.849926948547363,0.7857605218887329,0.04076595604419708,0
2,3,1,22.0,10.431076049804688,0.6029913425445557,0.05460136756300926,0
2,3,2,24.0,11.971624374389648,0.3238109350204468,0.02056502178311348,0
2,3,3,26.0,11.977738380432129,0.7720217704772949,0.048961617052555084,0
3,4,0,20.0,14.464700698852539,0.8716396689414978,0.031179344281554222,0
3,4,1,22.0,11.676682472229004,0.6613583564758301,0.04495403170585632,0
3,4,2,24.0,13.1986665725708,0.3513736426830292,0.01682296395301819,0
3,4,3,26.0,13.88412857055664,0.8508464097976685,0.034788720309734344,0
4,5,0,20.0,13.909296035766602,0.8071318864822388,0.03281066566705704,0
4,5,1,22.0,10.984015464782715,0.6239535212516785,0.04974514991044998,0
4,5,2,24.0,13.65884780883789,0.3305245041847229,0.014233737252652645,0
4,5,3,26.0,13.719558715820312,0.7926439046859741,0.033660639077425,0
5,6,0,20.0,6.302891731262207,0.8880400657653809,0.2080383598804474,0
5,6,1,22.0,5.7692484855651855,0.6830762624740601,0.1809440553188324,0
5,6,2,24.0,6.280077934265137,0.39525505900382996,0.09308284521102905,0
5,6,3,26.0,6.398282527923584,0.8909095525741577,0.20417630672454834,0
6,7,0,20.0,0.6879018545150757,1.1952996253967285,1.0202029943466187,0
6,7,1,22.0,0.7242744565010071,0.9811414480209351,0.8304321765899658,0
6,7,2,24.0,0.9545830488204956,0.7081301212310791,0.5684009194374084,0
6,7,3,26.0,0.7214064002037048,1.25831937789917,1.0657374858856201,0
7,8,0,20.0,13.725532531738281,0.80366051197052,0.03408156335353851,0
7,8,1,22.0,11.318568229675293,0.6321465373039246,0.04666173830628395,0
7,8,2,24.0,13.537249565124512,0.3281734585762024,0.01453377678990364,0
7,8,3,26.0,13.211678504943848,0.7945303916931152,0.03792648762464523,0
