path_index_zero_based,scene_number_one_based,window_index,window_start_seconds,nr_db,disturbance_energy,residual_energy,is_negative_nr
8,9,0,20.0,13.208418846130371,0.7884649038314819,0.037665218114852905,0
8,9,1,22.0,11.068565368652344,0.6178971529006958,0.04831251502037048,0
8,9,2,24.0,13.100404739379883,0.3086715042591095,0.015116667374968529,0
8,9,3,26.0,13.269232749938965,0.7673391699790955,0.03614632040262222,0
9,10,0,20.0,1.3933284282684326,1.1537678241729736,0.8371158838272095,0
9,10,1,22.0,1.389910101890564,0.9205125570297241,0.6684035062789917,0
9,10,2,24.0,1.6099185943603516,0.6489721536636353,0.44795483350753784,0
9,10,3,26.0,1.4407947063446045,1.2305448055267334,0.8831164240837097,0
